Timestamp,Drive ESC 1 Temp,Drive ESC 1 RPM,Drive ESC 1 Current,Drive ESC 1 Consumption,Drive ESC 1 Voltage,Drive ESC 2 Temp,Drive ESC 2 RPM,Drive ESC 2 Current,Drive ESC 2 Consumption,Drive ESC 2 Voltage,Weapon ESC Temp,Weapon ESC RPM,Weapon ESC Current,Weapon ESC Consumption,Weapon ESC Voltage,Arm ESC Temp,Arm ESC RPM,Arm ESC Current,Arm ESC Consumption,Arm ESC Voltage,Battery Voltage,Total Current,Total Consumption,Signal Strength
16_56_04_187542,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-102
16_56_04_190545,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.58,0,0.0,0.0,25.48,36.51,0,224.76,0.0,25.19,25.19,224.76,0.0,-106
16_56_04_195652,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.53,1,0.02,0.0,25.45,39.61,0,225.15,0.0,25.22,25.22,225.17,0.0,-106
16_56_04_201505,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.53,1,0.02,0.0,25.45,39.61,0,225.15,0.0,25.22,25.22,225.17,0.0,-106
16_56_04_204498,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.58,1,0.02,0.0,25.48,39.55,0,224.88,0.0,25.19,25.19,224.9,0.0,-106
16_56_04_209581,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.58,1,0.02,0.0,25.48,39.56,0,224.9,0.0,25.2,25.2,224.92,0.0,-106
16_56_04_211603,0,0,0.0,0,0.0,0,0,0.0,0,0.0,36.55,0,0.0,0.0,25.48,39.56,0,224.88,0.0,25.2,25.2,224.88,0.0,-107
16_56_04_219454,0,0,0.0,0,0.0,0,0,0.0,0,0.0,36.55,0,0.0,0.0,25.48,39.56,0,224.88,0.0,25.2,25.2,224.88,0.0,-106
16_56_04_224650,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.59,0,0.0,0.0,25.48,39.59,0,225.12,0.0,25.21,25.21,225.12,0.0,-106
16_56_04_228576,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.56,0,0.0,0.0,25.46,36.55,0,225.12,0.0,25.22,25.22,225.12,0.0,-106
16_56_04_233420,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.59,0,0.0,0.0,25.48,39.59,0,225.17,0.0,25.22,25.22,225.17,0.0,-106
16_56_04_239530,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.59,1,0.0,0.0,25.48,39.59,0,224.85,0.0,25.22,25.22,224.85,0.0,-105
16_56_04_243447,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.58,1,0.02,0.0,25.47,39.55,0,224.85,0.0,25.19,25.19,224.87,0.0,-106
16_56_04_249209,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.55,1,0.02,0.0,25.46,39.61,0,225.12,0.0,25.22,25.22,225.14,0.0,-106
16_56_04_253366,0,0,0.0,0,0.0,0,0,0.0,0,0.0,36.54,0,0.0,0.0,25.47,39.55,0,224.88,0.0,25.2,25.2,224.88,0.0,-106
16_56_04_257391,0,0,0.0,0,0.0,0,0,0.0,0,0.0,36.55,0,0.0,0.0,25.49,36.55,0,225.12,0.0,25.22,25.22,225.12,0.0,-106
