Timestamp,Drive ESC 1 Temp,Drive ESC 1 RPM,Drive ESC 1 Current,Drive ESC 1 Consumption,Drive ESC 1 Voltage,Drive ESC 2 Temp,Drive ESC 2 RPM,Drive ESC 2 Current,Drive ESC 2 Consumption,Drive ESC 2 Voltage,Weapon ESC Temp,Weapon ESC RPM,Weapon ESC Current,Weapon ESC Consumption,Weapon ESC Voltage,Arm ESC Temp,Arm ESC RPM,Arm ESC Current,Arm ESC Consumption,Arm ESC Voltage,Battery Voltage,Total Current,Total Consumption,Signal Strength
18_30_08_972075,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.65,0,0.0,0.0,23.94,42.65,0,225.15,0.0,23.8,23.8,225.15,0.0,-107
18_30_08_975781,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.61,0,0.0,0.0,23.9,42.61,0,224.93,0.0,23.63,23.63,224.93,0.0,-106
18_30_08_976779,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.65,0,0.0,0.0,0.35,15.95,0,0.0,0.0,0.0,0.0,0.0,0.0,-107
18_30_08_980738,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.66,0,0.0,0.0,23.93,42.66,0,225.17,0.0,23.8,23.8,225.17,0.0,-107
18_30_08_984759,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.66,0,0.0,0.0,23.93,42.66,0,225.17,0.0,23.8,23.8,225.17,0.0,-107
18_30_08_985751,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.58,1,0.02,0.0,23.9,42.62,0,224.85,0.0,23.77,23.77,224.87,0.0,-107
18_30_08_989741,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.58,1,0.02,0.0,23.9,42.65,0,225.22,0.0,23.8,23.8,225.24,0.0,-106
18_30_08_993819,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.61,0,0.0,0.0,23.92,42.61,0,224.93,0.0,23.64,23.64,224.93,0.0,-106
18_30_08_998689,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.61,0,0.0,0.0,23.92,42.62,0,225.0,0.0,23.79,23.79,225.0,0.0,-106
18_30_09_000682,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.59,0,0.0,0.0,23.92,42.62,0,225.0,0.0,23.79,23.79,225.0,0.0,-107
18_30_09_003999,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.59,0,0.0,0.0,23.92,42.58,0,224.71,0.0,23.62,23.62,224.71,0.0,-107
18_30_09_008056,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.65,0,0.0,0.0,23.93,42.65,0,225.22,0.0,23.8,23.8,225.22,0.0,-107
18_30_09_011687,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.62,0,0.0,0.0,23.92,42.62,0,224.95,0.0,23.78,23.78,224.95,0.0,-107
18_30_09_017636,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.65,0,0.0,0.0,23.92,42.62,0,224.95,0.0,23.78,23.78,224.95,0.0,-106
18_30_09_020142,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.65,0,0.0,0.0,23.92,42.58,0,224.68,0.0,23.76,23.76,224.68,0.0,-106
18_30_09_022656,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.61,0,0.0,0.0,23.92,42.63,0,224.93,0.0,23.78,23.78,224.93,0.0,-106
18_30_09_027645,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.65,0,0.0,0.0,23.93,42.62,0,224.93,0.0,23.78,23.78,224.93,0.0,-106
18_30_09_032631,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.61,0,0.0,0.0,23.91,42.62,0,224.93,0.0,23.78,23.78,224.93,0.0,-106
18_30_09_035775,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.61,0,0.0,0.0,23.92,42.61,0,224.9,0.0,23.78,23.78,224.9,0.0,-106
18_30_09_037619,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.61,0,0.0,0.0,23.92,42.62,0,224.93,0.0,23.78,23.78,224.93,0.0,-106
18_30_09_046557,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.65,0,0.0,0.0,23.93,42.61,0,224.95,0.0,23.78,23.78,224.95,0.0,-106
18_30_09_052090,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.65,0,0.0,0.0,23.93,42.61,0,224.95,0.0,23.78,23.78,224.95,0.0,-106
18_30_09_052090,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.65,0,0.0,0.0,23.93,42.61,0,224.93,0.0,23.78,23.78,224.93,0.0,-106
18_30_09_306896,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.65,0,0.0,0.0,23.93,42.61,0,224.95,0.0,23.78,23.78,224.95,0.0,-105
18_30_09_324848,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.62,0,0.0,0.0,23.92,42.62,0,224.95,0.0,23.79,23.79,224.95,0.0,-105
18_30_09_557243,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.61,0,0.0,0.0,23.92,42.62,0,224.95,0.0,23.79,23.79,224.95,0.0,-105
18_30_09_642138,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.61,0,0.0,0.0,23.91,42.61,0,224.93,0.0,23.78,23.78,224.93,0.0,-106
18_30_09_642138,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.61,0,0.0,0.0,23.91,42.61,0,224.88,0.0,23.78,23.78,224.88,0.0,-106
18_30_09_648967,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.62,0,0.0,0.0,23.91,42.65,0,225.15,0.0,23.65,23.65,225.15,0.0,-106
18_30_09_852581,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.58,1,0.02,0.0,23.9,42.59,1,224.8,0.0,23.63,23.63,224.82,0.0,-106
18_30_09_855498,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.65,0,0.0,0.0,23.93,42.59,1,224.8,0.0,23.63,23.63,224.8,0.0,-107
18_30_09_855609,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.65,0,0.0,0.0,23.93,42.62,0,224.95,0.0,23.79,23.79,224.95,0.0,-106
18_30_09_957015,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.65,0,0.0,0.0,23.93,42.58,0,224.76,0.0,23.76,23.76,224.76,0.0,-106
18_30_10_096485,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.63,0,0.0,0.0,23.94,42.62,0,225.0,0.0,23.64,23.64,225.0,0.0,-106
18_30_10_096921,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.59,0,0.0,0.0,23.91,42.62,0,225.0,0.0,23.64,23.64,225.0,0.0,-107
18_30_10_208723,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.59,0,0.0,0.0,23.91,42.58,0,224.76,0.0,23.64,23.64,224.76,0.0,-107
18_30_10_301324,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.58,1,0.0,0.0,23.89,42.62,0,224.88,0.0,23.65,23.65,224.88,0.0,-106
18_30_10_400004,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.63,0,0.02,0.0,23.91,42.61,0,224.95,0.0,23.64,23.64,224.97,0.0,-106
18_30_10_517690,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.61,0,0.0,0.0,23.91,42.61,0,224.95,0.0,23.64,23.64,224.95,0.0,-106
18_30_10_518688,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.61,0,0.0,0.0,23.91,42.65,0,225.2,0.0,23.66,23.66,225.2,0.0,-106
18_30_10_749214,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.58,0,0.0,0.0,23.89,42.58,0,224.73,0.0,23.61,23.61,224.73,0.0,-106
18_30_10_756053,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.65,0,0.0,0.0,23.92,42.65,0,225.2,0.0,23.68,23.68,225.2,0.0,-106
18_30_10_866791,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.69,0,0.0,0.0,23.95,42.65,0,225.2,0.0,23.68,23.68,225.2,0.0,-107
18_30_10_927874,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.63,0,0.0,0.0,23.93,42.62,0,224.98,0.0,23.64,23.64,224.98,0.0,-107
18_30_11_043320,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.63,0,0.0,0.0,23.93,42.61,0,224.93,0.0,23.64,23.64,224.93,0.0,-106
18_30_11_138208,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.58,1,0.02,0.0,23.89,42.56,0,224.71,0.0,23.62,23.62,224.73,0.0,-106
18_30_11_224823,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.61,0,0.02,0.0,23.91,42.56,0,224.71,0.0,23.62,23.62,224.73,0.0,-106
18_30_11_337499,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.65,0,0.0,0.0,23.93,42.65,0,225.17,0.0,23.8,23.8,225.17,0.0,-106
18_30_11_404786,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.65,0,0.0,0.0,23.93,42.58,1,224.73,0.0,23.76,23.76,224.73,0.0,-106
18_30_11_479119,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.65,0,0.0,0.0,23.94,42.62,0,224.93,0.0,23.78,23.78,224.93,0.0,-107
18_30_11_577855,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.62,1,0.02,0.0,23.92,42.62,0,224.9,0.0,23.78,23.78,224.92,0.0,-107
18_30_11_629717,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.62,0,0.0,0.0,23.91,42.62,0,224.9,0.0,23.78,23.78,224.9,0.0,-107
18_30_11_770341,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.62,0,0.0,0.0,23.91,42.59,0,224.73,0.0,23.76,23.76,224.73,0.0,-107
18_30_11_856112,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.65,0,0.0,0.0,23.94,42.63,0,224.88,0.0,23.79,23.79,224.88,0.0,-106
18_30_11_911963,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.58,0,0.0,0.0,23.89,42.66,0,225.22,0.0,23.79,23.79,225.22,0.0,-106
18_30_12_010711,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.61,0,0.0,0.0,23.91,42.66,0,225.22,0.0,23.79,23.79,225.22,0.0,-107
18_30_12_132373,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.61,0,0.0,0.0,23.91,42.63,1,224.98,0.0,23.79,23.79,224.98,0.0,-107
18_30_12_194382,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.62,0,0.02,0.0,23.91,42.66,0,225.2,0.0,23.8,23.8,225.22,0.0,-107
18_30_12_306992,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.65,0,0.0,0.0,23.92,15.97,0,0.0,0.0,0.0,0.0,0.0,0.0,-107
18_30_12_361760,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.59,0,0.0,0.0,23.91,15.97,0,0.0,0.0,0.0,0.0,0.0,0.0,-107
18_30_12_466480,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.59,0,0.0,0.0,23.91,42.61,0,224.9,0.0,23.79,23.79,224.9,0.0,-106
18_30_12_579182,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.63,1,0.02,0.0,23.92,42.61,0,224.95,0.0,23.78,23.78,224.97,0.0,-106
18_30_12_616122,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.61,0,0.0,0.0,23.92,42.63,0,224.88,0.0,23.78,23.78,224.88,0.0,-107
18_30_12_839483,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.66,0,0.0,0.0,23.93,42.63,0,224.88,0.0,23.78,23.78,224.88,0.0,-106
18_30_12_938219,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.61,0,0.0,0.0,23.92,42.63,0,224.95,0.0,23.79,23.79,224.95,0.0,-106
18_30_13_030034,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.61,0,0.0,0.0,23.91,42.62,0,224.98,0.0,23.79,23.79,224.98,0.0,-107
18_30_13_105771,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.59,1,0.02,0.0,23.91,42.62,0,224.98,0.0,23.79,23.79,225.0,0.0,-106
18_30_13_198865,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.65,0,0.0,0.0,23.79,42.61,1,224.88,0.0,23.78,23.78,224.88,0.0,-107
