Timestamp,Drive ESC 1 Temp,Drive ESC 1 RPM,Drive ESC 1 Current,Drive ESC 1 Consumption,Drive ESC 1 Voltage,Drive ESC 2 Temp,Drive ESC 2 RPM,Drive ESC 2 Current,Drive ESC 2 Consumption,Drive ESC 2 Voltage,Weapon ESC Temp,Weapon ESC RPM,Weapon ESC Current,Weapon ESC Consumption,Weapon ESC Voltage,Arm ESC Temp,Arm ESC RPM,Arm ESC Current,Arm ESC Consumption,Arm ESC Voltage,Battery Voltage,Total Current,Total Consumption,Signal Strength
16_59_24_880778,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.59,0,0.0,0.0,24.97,54.77,0,224.9,0.0,24.68,24.68,224.9,0.0,-105
16_59_24_962296,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.61,0,0.0,0.0,24.96,54.86,0,225.15,0.0,24.71,24.71,225.15,0.0,-105
16_59_25_050931,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.61,0,0.0,0.0,24.96,54.78,0,224.88,0.0,24.68,24.68,224.88,0.0,-106
16_59_25_132712,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.56,0,0.0,0.0,24.96,54.78,0,224.88,0.0,24.68,24.68,224.88,0.0,-105
16_59_25_239426,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.56,0,0.0,0.0,24.96,54.84,0,225.2,0.0,24.7,24.7,225.2,0.0,-105
16_59_25_319246,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.55,1,0.0,0.0,24.93,54.78,0,224.93,0.0,24.69,24.69,224.93,0.0,-105
16_59_25_446872,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.59,0,0.0,0.0,24.96,54.74,0,224.73,0.0,24.67,24.67,224.73,0.0,-106
16_59_25_517684,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.65,0,0.0,0.0,24.96,54.74,0,224.73,0.0,24.67,24.67,224.73,0.0,-105
16_59_25_560567,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.65,0,0.0,0.0,24.97,54.86,0,225.22,0.0,24.7,24.7,225.22,0.0,-106
16_59_25_687678,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.65,0,0.0,0.0,24.97,54.77,0,224.8,0.0,24.67,24.67,224.8,0.0,-105
16_59_25_750217,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.56,1,0.02,0.0,24.96,54.78,0,224.95,0.0,24.69,24.69,224.97,0.0,-106
16_59_25_842846,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.56,0,0.0,0.0,24.94,54.78,0,224.95,0.0,24.69,24.69,224.95,0.0,-105
16_59_26_028318,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.63,0,0.0,0.0,24.96,54.8,0,224.95,0.0,24.68,24.68,224.95,0.0,-106
16_59_26_075249,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.63,0,0.0,0.0,24.96,54.74,0,224.76,0.0,24.66,24.66,224.76,0.0,-106
16_59_26_191883,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.68,0,0.0,0.0,24.99,0.0,0,224.98,0.0,24.69,24.69,224.98,0.0,-114
16_59_26_292612,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,2,0.88,0.0,24.97,0.0,14483,224.78,0.0,24.28,24.28,225.66,0.0,-104
16_59_26_376388,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.58,1,0.02,0.0,24.96,54.8,1621,224.98,0.0,24.05,24.05,225.0,0.0,-104
16_59_26_456223,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.61,0,0.0,0.0,24.84,54.8,1621,224.98,0.0,24.05,24.05,224.98,0.0,-102
16_59_26_515312,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.61,0,0.0,0.0,24.84,54.73,1618,224.73,0.0,24.54,24.54,224.73,0.0,-101
16_59_26_676981,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.61,0,0.0,0.0,24.81,54.8,1621,225.0,0.0,24.69,24.69,225.0,0.0,-101
16_59_26_735428,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.59,0,0.0,0.0,24.96,54.8,1622,224.9,0.0,24.68,24.68,224.9,0.0,-101
16_59_26_876093,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.59,0,0.0,0.0,24.97,54.8,1622,224.9,0.0,24.68,24.68,224.9,0.0,-101
16_59_26_914994,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.59,0,0.0,0.0,24.97,54.76,1618,224.76,0.0,24.67,24.67,224.76,0.0,-101
16_59_26_971143,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.61,0,0.0,0.0,24.95,54.78,492,224.95,0.0,24.69,24.69,224.95,0.0,-102
16_59_27_123073,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.59,0,0.0,0.0,24.97,54.78,494,224.9,0.0,24.68,24.68,224.9,0.0,-105
16_59_27_191208,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.55,0,0.0,0.0,24.95,54.78,494,224.9,0.0,24.68,24.68,224.9,0.0,-107
16_59_27_265009,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.55,0,0.0,0.0,24.95,54.8,457,224.9,0.0,24.68,24.68,224.9,0.0,-106
16_59_27_351828,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.59,0,0.0,0.0,24.97,54.77,584,225.02,0.0,24.68,24.68,225.02,0.0,-107
16_59_27_441094,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.58,0,0.02,0.0,24.97,54.74,655,224.76,0.0,24.66,24.66,224.78,0.0,-105
16_59_27_667934,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,51,0.0,0.0,24.96,6.74,12380,224.76,0.0,24.29,24.29,224.76,0.0,-109
16_59_27_768698,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.55,0,0.0,0.0,24.95,54.76,12380,224.76,0.0,24.29,24.29,224.76,0.0,-108
16_59_27_875412,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.55,1,0.02,0.0,24.95,54.73,12500,224.71,0.0,24.66,24.66,224.73,0.0,-102
16_59_27_969497,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.58,1,0.02,0.0,24.43,54.81,1114,225.0,0.0,24.69,24.69,225.02,0.0,-103
16_59_28_021056,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.56,0,0.0,0.0,24.82,54.78,695,224.93,0.0,24.67,24.67,224.93,0.0,-102
16_59_28_132691,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.61,0,0.0,0.0,24.82,54.78,697,224.93,0.0,24.67,24.67,224.93,0.0,-102
16_59_28_218462,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.65,0,0.0,0.0,24.98,54.78,697,225.0,0.0,24.69,24.69,225.0,0.0,-103
16_59_28_319193,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.65,0,0.0,0.0,24.98,54.74,698,224.71,0.0,24.67,24.67,224.71,0.0,-101
16_59_28_372051,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.59,0,0.0,0.0,24.95,54.8,0,224.93,0.0,24.68,24.68,224.93,0.0,-103
16_59_28_491730,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.58,1,0.02,0.0,24.93,54.77,0,224.9,0.0,24.68,24.68,224.92,0.0,-103
16_59_28_585508,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.58,0,0.0,0.0,24.96,54.77,0,224.9,0.0,24.68,24.68,224.9,0.0,-102
16_59_28_852785,0,0,0.0,0,0.0,0,0,0.0,0,0.0,39.58,0,0.0,0.0,24.96,0.53,0,225.0,0.0,0.0,0.0,225.0,0.0,-104
16_59_29_021319,0,0,0.0,0,0.0,0,0,0.0,0,0.0,37.7,2,0.05,0.0,0.33,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-104
16_59_29_041300,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-104
16_59_29_175906,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-104
