Timestamp,Drive ESC 1 Temp,Drive ESC 1 RPM,Drive ESC 1 Current,Drive ESC 1 Consumption,Drive ESC 1 Voltage,Drive ESC 2 Temp,Drive ESC 2 RPM,Drive ESC 2 Current,Drive ESC 2 Consumption,Drive ESC 2 Voltage,Weapon ESC Temp,Weapon ESC RPM,Weapon ESC Current,Weapon ESC Consumption,Weapon ESC Voltage,Arm ESC Temp,Arm ESC RPM,Arm ESC Current,Arm ESC Consumption,Arm ESC Voltage,Battery Voltage,Total Current,Total Consumption,Signal Strength
17_00_50_108423,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.65,0,0.0,0.0,24.98,51.8,0,225.17,0.0,24.85,24.85,225.17,0.0,-106
17_00_50_115406,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.58,1,0.02,0.0,25.05,51.74,0,224.85,0.0,24.83,24.83,224.87,0.0,-105
17_00_50_120392,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.61,0,0.0,0.0,25.07,54.84,0,225.17,0.0,24.86,24.86,225.17,0.0,-104
17_00_50_123570,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.61,0,0.0,0.0,25.07,54.84,0,224.85,0.0,24.81,24.81,224.85,0.0,-107
17_00_50_124609,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.62,0,0.0,0.0,25.08,51.73,0,224.85,0.0,24.81,24.81,224.85,0.0,-106
17_00_50_126409,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.62,0,0.0,0.0,25.07,51.8,0,225.12,0.0,24.85,24.85,225.12,0.0,-106
17_00_50_130365,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.65,0,0.0,0.0,24.96,51.74,0,224.88,0.0,24.82,24.82,224.88,0.0,-106
17_00_50_135376,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.65,0,0.0,0.0,24.96,51.7,1,224.73,0.0,24.79,24.79,224.73,0.0,-109
17_00_50_139342,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.61,0,0.0,0.0,25.08,51.7,1,224.73,0.0,24.79,24.79,224.73,0.0,-108
17_00_50_144327,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.58,0,0.02,0.0,24.93,51.67,1,224.63,0.0,24.79,24.79,224.65,0.0,-109
17_00_50_150312,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.59,1,0.02,0.0,24.93,51.74,1,224.93,0.0,24.81,24.81,224.95,0.0,-109
17_00_50_154334,0,0,0.0,0,0.0,0,0,0.0,0,0.0,42.59,1,0.02,0.0,24.93,51.79,0,225.17,0.0,24.85,24.85,225.19,0.0,-108
